Company Name,Domain,Description,Industry,Tech Vertical,Sub-industry,Growth Stage,Founded Date,HQ Location,Operating Status,Total Funding Amount (in USD),Last Funding Amount (in USD),Last Funding Date,Last Funding Type,Post Money Valuation (in USD),Number of Funding Rounds,Investors,Lead Investors,Annual Revenue Estimate (in USD),Founders,Founder Highlights,Number of Founders,Employee Count,Employee Monthly Growth3,Employee Monthly Growth6,Web Visits,Web Visits Monthly Growth3,Web Visits Monthly Growth6,Number of Patents,Awards Count,Highlights,Tagline,stage_score,sector_score,founder_score,momentum_score,total_score,qualification_tier,outreach_action,timing_note,diligence_steps
Spaceium Inc. (YC S24),spaceium.com,"Spaceium develops in-orbit refueling and repair stations that enable spacecraft to refuel, undergo repairs, and extend mission durations. The company designs spacecraft docking mechanisms and service hubs that store and transfer cryogenic and non-cryogenic propellants with zero-loss storage and transfer technology. Its product combines precision docking hardware, fluid-transfer systems for cryogenic fuels, and integration capabilities for satellites and crewed vehicles. Spaceium operates as a B2B aerospace infrastructure provider serving spacecraft operators and satellite service companies. Its stations are intended to support longer missions, larger payloads, and recurring in-space operations across interplanetary and orbital markets.",Manufacturing; Transportation Equipment Manufacturing,"Space & Frontier > Space Operations, Services and Logistics; Space & Frontier > On-Orbit Services and Infrastructure; Space & Frontier > Launch, Reentry and Propulsion Systems",Aerospace; Information Technology; Space Travel,Pre-Seed,2023,"Long Beach, California, United States, North America",Active,6883333.0,6300000.0,2025-01-22,Seed,0.0,3,"Alumni Ventures, Benjamin Bryant, Calm Ventures, Crosscourt Ventures, DTX Ventures, Gaingels, Hydrocarbon Minerals, Initialized Capital, Justin Hamilton, Mergus Ventures, Olive Tree Capital, Outfit Ventures, Saturnin Pugnet, Spacedust Ventures, Y Combinator, Zeno Partners, a16z Scout Fund","Y Combinator, Initialized Capital, Alumni Ventures",0.0,"[{""specter_person_id"":""per_09219038eb309a67129ad7d7"",""full_name"":""Ashi Dissanayake"",""departments"":[],""title"":""Co-Founder / CEO"",""seniority"":null},{""specter_person_id"":""per_d250a4a71cc2597b06009641"",""full_name"":""Reza Fetanat"",""departments"":[""Senior Leadership"",""Engineering""],""title"":""Co-Founder & CTO"",""seniority"":""Executive Level""}]","Prior VC-Backed Experience, Serial Founder, VC-Backed Experience, VC-Backed Founder",2,4,33.33,33.33,1001.0,-5.03,137.2,,,"Top Tier Investors, No Recent Funding",Spaceium builds in-orbit service stations that refuel and repair spacecraft.,30,100,20,88,79,Tier 3,Monitor (Tier 3),~17mo since last raise — likely approaching a new round; strong time to engage.,Validate founder track record and prior exit outcomes. | Assess market size and competitive landscape. | Review cap table and quality of existing investors.
Vermeer,getvermeer.com,"Vermeer provides a vision-based global navigation system designed for GPS-denied, spoofed, and contested environments, primarily targeting military and industry applications. Their core technology, VPS (Visual Positioning System), enables aerial platforms to determine their absolute location without relying on GPS.  The 'VPS Box' system utilizes multiple EO/IR camera feeds for enhanced reliability and accuracy compared to single-camera solutions. Vermeer offers both hardware and software-only deployments. Their product suite includes 'Air' for aerial platforms and 'Celestial' for star-based navigation. Notable clients and partners include Raytheon Technologies and Skyeton, with endorsements from high-ranking military officials.",Manufacturing; Transportation Equipment Manufacturing; Aviation and Aerospace Component Manufacturing,"Robotics & Industrial Tech > Aerial Robotics and Autonomous Drones; Space & Frontier > Communications, Navigation and Timing; Defence & Security > ISR and Sensing; Defence & Security > Autonomous and Uncrewed Systems; Robotics & Industrial Tech > Edge Computing and AI for Robotics",Aerospace; Artificial Intelligence (AI); Augmented Reality; B2B; Computer Vision; Drones; Software; Virtual Reality,Early Stage,2015,"New York City, New York, United States, North America",Active,16086308.0,10000000.0,2025-10-22,Series A,0.0,7,"Aero X Ventures, Boscolo Intervest, Brian Cook, Dong Chen, Draper Associates, GENIUS NY, Highpoint Ventures, James Han, Oleg Gorshkov, Rob Raimo, Robert Ollwerther, Rockaway Ventures, SeedInvest, Shu Duan, Srini Katta, Super Ventures, Techstars, Travis Jamison, Valor Ventures","GENIUS NY, Techstars, Draper Associates",0.0,"[{""specter_person_id"":""per_70bcfb90e106c114538a1907"",""full_name"":""Brian S."",""departments"":[""Senior Leadership""],""title"":""CEO _ Founder"",""seniority"":""Executive Level""}]","Hyper Connector, Prior VC-Backed Experience, Serial Founder, Top University, VC-Backed Founder",1,31,3.33,6.9,1546.0,-37.23,84.71,5.0,,"Social Followers Momentum, Social Followers Scale-up, App Downloads Dip, Top Tier Investors, Recent Funding",Vermeer provides vision-based navigation for GPS-denied environments for aerial platforms.,100,100,27,78,79,Tier 3,Monitor (Tier 3),"Raised ~8mo ago — build the relationship now, ahead of the next round.",Validate founder track record and prior exit outcomes. | Assess market size and competitive landscape. | Review cap table and quality of existing investors.
Nash,usenash.com,"Nash provides businesses a single platform to ensure reliable, predictable last-mile delivery and improved customer experiences. It uses an AI-driven hybrid orchestration layer and a unified delivery data model to consolidate same-day, scheduled, shipping, and return flows, enabling dynamic dispatch, fleet management, automated returns, fraud detection, and AI agents for support. The platform connects internal fleets and 1,000+ third-party delivery providers and offers integrations with merchant platforms such as Square, Shopify, and Toast. Nash is a B2B SaaS solution serving grocery, retail, restaurant, and pharmacy customers and powers over 100M deliveries annually across multiple countries.","Transportation, Logistics, Supply Chain and Storage; Logistics Technology","Mobility, Transport & Logistics > Logistics, Fulfilment, and Returns; Mobility, Transport & Logistics > Last Mile Delivery and Drones; Supply Chain & ManufacturingTech > Supply Chain Visibility and Control Towers; Supply Chain & ManufacturingTech > Transportation, Freight and Network Optimization; Commerce & Marketplaces > Commerce Platforms",Delivery; Logistics; Software,Growth Stage,2021,"San Francisco, California, United States, North America",Active,27925000.0,20000000.0,2022-07-26,Series A,0.0,3,"Andreessen Horowitz, Rackhouse Venture Capital, Y Combinator",Andreessen Horowitz,0.0,"[{""specter_person_id"":""per_21591d1a3bdd03b2897fc9fd"",""full_name"":""Mahmoud Ghulman"",""departments"":[""Senior Leadership""],""title"":""Co-Founder & CEO"",""seniority"":""Executive Level""},{""specter_person_id"":""per_f41020130c4da4cff6bac7cf"",""full_name"":""Aziz Alghunaim"",""departments"":[""Senior Leadership"",""Engineering""],""title"":""Co-Founder & CTO"",""seniority"":""Executive Level""}]","Unicorn Experience, Prior VC-Backed Experience, Serial Founder, Strong Technical Background, Top University, VC-Backed Founder",2,134,8.94,26.42,233194.0,124.49,117.54,,,"Headcount Surge, Headcount Momentum, Headcount Scale-up, Web Traffic Surge, Web Traffic Momentum, Web Traffic Scale-up, Top Tier Investors, No Recent Funding","Nash orchestrates last-mile delivery via AI, connecting fleets and 1,000+ providers.",100,100,47,76,78,Tier 3,Monitor (Tier 3),~47mo since last raise — may be raising soon or capital-efficient; worth a direct conversation.,"Validate founder track record and prior exit outcomes. | Confirm current runway, burn rate, and timeline to next raise. | Assess market size and competitive landscape. | Review cap table and quality of existing investors."
4MATIV Technologies,4mativ.org,"4MATIV is a technology-enabled transportation management company focused on optimizing school transportation systems to improve student access to education. Founded in 2018 by educators and transportation experts, 4MATIV partners with schools and districts to deliver tailored, multi-modal transportation solutions that combine traditional buses with innovative options like vans, carpools, and public transit. Their services include consulting, managed services, and strategic planning to reduce costs by up to 40%, improve on-time performance, and expand driver supply. They emphasize serving vulnerable student populations such as children with special needs and those experiencing homelessness, while providing real-time communication tools for parents and administrators. 4MATIV manages millions of dollars in transportation budgets and supports districts in achieving sustainable, efficient, and equitable student mobility.",Government Administration; Economic Programs; Transportation Programs,"Mobility, Transport & Logistics > Mobility Platforms and Micromobility; EdTech > Ku201312 and Higher Ed Systems; Mobility, Transport & Logistics > Public Transit and Fare Systems",Information Technology; Software; Transportation,Early Stage,2017,"Saint Paul, Minnesota, United States, North America",Active,250000.0,250000.0,2023-01-03,Series A,0.0,1,Newchip Accelerator,,0.0,"[{""specter_person_id"":""per_f8087e3fed036b3d438f4ad7"",""full_name"":""Ario K."",""departments"":[""Senior Leadership""],""title"":""Co-Founder and Advisor"",""seniority"":""Executive Level""}]","Unicorn Experience, Polyglot, Prior Exit, Prior VC-Backed Experience, Prior VC-Backed Founder, Serial Founder, VC-Backed Experience, VC-Backed Founder",1,50,4.17,21.95,26252.0,294.77,31.23,,,"Headcount Scale-up, Web Traffic Surge, Web Traffic Scale-up, Social Followers Surge, Social Followers Momentum, Social Followers Scale-up, No Recent Funding",4MATIV offers tech-enabled transportation management services for students.,100,60,67,76,77,Tier 3,Monitor (Tier 3),~42mo since last raise — may be raising soon or capital-efficient; worth a direct conversation.,"Validate founder track record and prior exit outcomes. | Confirm core technology and fit with target sectors. | Confirm current runway, burn rate, and timeline to next raise. | Assess market size and competitive landscape. | Review cap table and quality of existing investors."
"Myrmex, Inc",myrmex-inc.com,"Myrmex provides a fully unmanned delivery system for grocery and e-commerce businesses, enabling them to efficiently manage and deliver increasing online order volumes. The system utilizes autonomous mobile robots and intelligent asset handling within a 'container' logic to automate the storage, sorting, and delivery of orders from collection points. It incorporates individual temperature-controlled rooms for chilled and frozen goods, ensuring rapid order fulfillment within seconds of customer arrival. This technology significantly reduces delivery costs, simplifies logistics, and enhances customer experience with 24/7 operational capability and high accuracy. Myrmex targets grocery and e-commerce companies seeking to automate their supply chain for last-mile delivery.","Transportation, Logistics, Supply Chain and Storage; Logistics Technology","Mobility, Transport & Logistics > Last Mile Delivery and Drones; Robotics & Industrial Tech > Ground Mobility: AMRs and AGVs; Mobility, Transport & Logistics > Logistics, Fulfilment, and Returns; AI & Machine Learning > Multimodal Perception and Sensor Fusion; Supply Chain & ManufacturingTech > Supply Chain Visibility and Control Towers",Industrial Automation; Robotics,Early Stage,2015,"Santa Clara, California, United States, North America",Active,4993950.0,1215000.0,2020-10-12,Series B,0.0,2,"Ocado Group, Odyssey Ventures L.P.",Odyssey Ventures L.P.,0.0,"[{""specter_person_id"":""per_08a472d00130574b1027aff9"",""full_name"":""Orestis Fainekos"",""departments"":[""Senior Leadership"",""Engineering""],""title"":""Founder & CTO"",""seniority"":""Executive Level""},{""specter_person_id"":""per_fbf948c44fbd1c742e641f54"",""full_name"":""Ioannis Kanellos"",""departments"":[""Senior Leadership""],""title"":""Founder - CMO and Lead Strategist"",""seniority"":""Executive Level""}]","Prior IPO, Serial Founder, Strong Technical Background",2,8,14.29,14.29,2453.0,106.83,234.65,,,No Recent Funding,Myrmex provides a fully unmanned delivery system for grocery and e-commerce using robotics.,100,100,47,74,77,Tier 3,Monitor (Tier 3),~69mo since last raise — may be raising soon or capital-efficient; worth a direct conversation.,"Validate founder track record and prior exit outcomes. | Confirm current runway, burn rate, and timeline to next raise. | Assess market size and competitive landscape. | Review cap table and quality of existing investors."
Quantum Space,quantumspace.us,"Quantum Space is building the maneuver-first space infrastructure required for todayâ€™s contested domain. Their flagship platform, Ranger, enables dynamic, persistent capabilities supporting national security and commercial missions across all orbital regimes. Ranger is engineered for space superiority, offering 15+ years of operational longevity for persistent presence, deep fuel reserves for multi-orbit missions, and five payload ports for diverse deployment.  For national security, Ranger supports space-based interceptors, space domain dominance, and fleet refueling. Commercially, it offers satellite life extension, adding 3-5 years of operational service. The company has secured multiple defense contracts totaling approximately $30 million and recently raised a $40 million Series A extension, bringing the total to $57 million.",Manufacturing; Transportation Equipment Manufacturing; Defense and Space Manufacturing,"Defence & Security > Space and Aerospace Defence; Space & Frontier > Spacecraft Platforms and Constellations; Space & Frontier > On-Orbit Services and Infrastructure; Space & Frontier > Space Operations, Services and Logistics; Space & Frontier > Launch, Reentry and Propulsion Systems",Aerospace,Early Stage,2021,"Rockville, Maryland, United States, North America",Active,73231356.0,40000000.0,2025-06-10,Series A,0.0,6,"1802 Ventures, AnD Ventures, Gaingels, Maryland Department of Commerce, Prime Movers Lab, Sporos Capital Partners","Prime Movers Lab, Maryland Department of Commerce, Sporos Capital Partners",0.0,"[{""specter_person_id"":""per_77f259101c287a3465018401"",""full_name"":""Benjamin Reed"",""departments"":[""Senior Leadership"",""Engineering""],""title"":""Co-Founder and CIO"",""seniority"":""Executive Level""},{""specter_person_id"":""per_7c7e97fb84ecc34dca8acd9a"",""full_name"":""Kerry Wisnosky"",""departments"":[""Senior Leadership""],""title"":""Co-Founder/ CEO"",""seniority"":""Executive Level""},{""specter_person_id"":""per_ec2478d0ddf07fccb87ec054"",""full_name"":""Kam Ghaffarian"",""departments"":[""Senior Leadership""],""title"":""Co-Founder & Executive Chairman"",""seniority"":""Executive Level""}]","Unicorn Experience, Prior Exit, Prior IPO, Prior VC-Backed Founder, Serial Founder, Strong Academic Background, Strong Technical Background, Top University, VC-Backed Founder",3,69,16.95,43.75,682.0,-81.46,-82.18,3.0,,"Headcount Surge, Headcount Momentum, Headcount Scale-up, No Recent Funding, Recent News","Quantum Space develops Ranger, a maneuver-first spacecraft for defense and commercial space missions.",100,100,100,70,76,Tier 3,Monitor (Tier 3),~12mo since last raise — likely approaching a new round; strong time to engage.,Validate founder track record and prior exit outcomes. | Assess market size and competitive landscape. | Review cap table and quality of existing investors.
"Gallatin AI, Inc.",gallatin.ai,"Gallatin provides defense organizations with AI-driven logistics decision support to improve planning and execution across tactical, operational, and strategic levels. The company offers a logistics platform that synthesizes data to create actionable insights for first-, middle-, and last-mile operations and supports mission planning and resource allocation. Its solution is delivered as a B2B SaaS platform using AI and analytics to produce decision recommendations and situational awareness for military and defense logistics teams. Gallatin addresses defense and government logistics needs at scale across operational environments.","Technology, Information and Internet; Information Services; Internet Publishing","AI & Machine Learning > Agentic Frameworks and Orchestration; Data & Analytics > Streaming and Real-time Data; Robotics & Industrial Tech > Edge Computing and AI for Robotics; Supply Chain & ManufacturingTech > Planning, Forecasting and Inventory Optimization; Robotics & Industrial Tech > Aerial Robotics and Autonomous Drones",Logistics; Military; National Security; Predictive Analytics; Software; Supply Chain Management,Pre-Seed,2024,"El Segundo, California, United States, North America",Active,15000000.0,15000000.0,2025-04-08,Seed,0.0,2,"8VC, Banter Capital, Moonshots Capital, Silent Ventures",8VC,0.0,"[{""specter_person_id"":""per_46002bdee976c3e21ee60b73"",""full_name"":""Daniel Buchmueller"",""departments"":[""Senior Leadership"",""Engineering""],""title"":""Co-Founder & CTO"",""seniority"":""Executive Level""},{""specter_person_id"":""per_60058346a69454f67685dc37"",""full_name"":""Woody Glier"",""departments"":[""Senior Leadership""],""title"":""Co-Founder + CEO"",""seniority"":""Executive Level""},{""specter_person_id"":""per_905d0f203eeebb2dd78142f9"",""full_name"":""Jake Medwell"",""departments"":[""Senior Leadership""],""title"":""Co-Founder and Board Member"",""seniority"":""Executive Level""},{""specter_person_id"":""per_e258b650b969c27533c19186"",""full_name"":""Brian Ballard"",""departments"":[""Senior Leadership"",""Product & Research""],""title"":""Co-Founder & Chief Product Officer"",""seniority"":""Executive Level""}]","Fortune 500 Experience, Unicorn Experience, Prior Exit, Prior IPO, Prior VC-Backed Experience, Prior VC-Backed Founder, Serial Founder, Strong Technical Background, Top University, VC-Backed Experience, VC-Backed Founder",4,47,9.3,51.61,7190.0,0.06,20.31,,,"Headcount Momentum, Headcount Scale-up, Social Followers Surge, Social Followers Scale-up, Top Tier Investors, No Recent Funding",Gallatin is a logistics platform that provides AI-powered decision support for the defense industry.,30,100,100,78,76,Tier 3,Monitor (Tier 3),~14mo since last raise — likely approaching a new round; strong time to engage.,Validate founder track record and prior exit outcomes. | Assess market size and competitive landscape. | Review cap table and quality of existing investors.
JetZero,jetzero.aero,"JetZero develops blended-wing-body commercial aircraft that aim to substantially lower fuel consumption and carbon emissions for airlines, cargo operators, and military customers. The company is advancing the Z4 all-wing aircraft using aerodynamic simulation, structural engineering, advanced composites, and advanced manufacturing techniques, and is exploring hydrogen fuel adaptations. JetZero partners with aerospace suppliers, the US Air Force, NASA, and the FAA to design, test, and prepare full-scale demonstrators and certification pathways. JetZero is an aircraft OEM targeting entry into commercial service by 2030.",Manufacturing; Transportation Equipment Manufacturing; Aviation and Aerospace Component Manufacturing,"ClimateTech > Low-Carbon Mobility and Transport; ClimateTech > Industrial and Materials Decarbonisation; Energy & Storage > Hydrogen, Ammonia and E-fuels; Space & Frontier > Launch, Reentry and Propulsion Systems; Defence & Security > Defence Manufacturing and Materials",Aerospace; Air Transportation; Manufacturing,Growth Stage,2020,"Long Beach, California, United States, North America",Active,436425102.0,175000000.0,2026-01-13,Series B,0.0,5,"3M New Ventures, Alaska Airlines, Alaska Star Ventures, B Capital, Northrop Grumman, RTX Ventures, Trucks Venture Capital, US Air Force Reserve, United Airlines, United Airlines Ventures","US Air Force Reserve, Alaska Star Ventures, United Airlines, B Capital",0.0,"[{""specter_person_id"":""per_90c190fff1de7c5db0b6674e"",""full_name"":""Tom O'Leary"",""departments"":[""Senior Leadership""],""title"":""Co-Founder"",""seniority"":""Executive Level""}]","Fortune 500 Experience, Unicorn Experience, Prior Exit, Prior IPO, Prior VC-Backed Experience, Prior VC-Backed Founder, Serial Founder, VC-Backed Founder",1,218,9.55,16.58,22453.0,3.66,-25.08,55.0,,"Headcount Surge, Headcount Momentum, Headcount Scale-up, Social Followers Scale-up, Recent Funding, Recent News",JetZero develops blended-wing-body commercial aircraft to reduce fuel burn and emissions.,100,100,97,70,76,Tier 3,Monitor (Tier 3),"Raised ~5mo ago — build the relationship now, ahead of the next round.",Validate founder track record and prior exit outcomes. | Assess market size and competitive landscape. | Review cap table and quality of existing investors.
Augment,goaugment.com,"Augment provides Augie, an AI teammate that automates complex logistics tasks so operations teams can focus on decisions and customer relationships. The platform is a B2B SaaS logistics productivity solution that uses AI and large language models (LLMs) deployed on AWS, with enterprise features like SAML/SSO and TLS 1.2+ for secure integrations into email, phone, portals, TMS, and invoicing systems. Augie automates workflows such as POD collection, booking loads, track-and-trace, and order-to-cash by parsing messages, generating documents, and executing system actions. The product targets shippers, brokers, and carriers and aims to reduce errors, speed cycle times, and improve revenue, yield, and DSO across logistics operations.","Transportation, Logistics, Supply Chain and Storage; Logistics Technology","Mobility, Transport & Logistics > Logistics, Fulfilment, and Returns; Supply Chain & ManufacturingTech > Aftermarket & Service Supply Chains; Mobility, Transport & Logistics > Freight, TMS and Logistics Platforms; Supply Chain & ManufacturingTech > Supply Chain Visibility and Control Towers; Enterprise Automation > Integration and Workflow Automation",Artificial Intelligence (AI); Freight Service; Logistics; Transportation,Growth Stage,2024,"San Francisco, California, United States, North America",Active,110000000.0,85000000.0,2025-09-04,Series A,0.0,2,"8VC, 9Yards Capital, Autotech Ventures, Redpoint, Shopify Ventures","8VC, Redpoint",0.0,"[{""specter_person_id"":""per_67c8a92d7a179df3dd979d47"",""full_name"":""Artur Rivilis"",""departments"":[""Senior Leadership"",""Engineering""],""title"":""CTO and Co-Founder"",""seniority"":""Executive Level""},{""specter_person_id"":""per_76cb1fe8824b974eeea5250a"",""full_name"":""Harish Abbott"",""departments"":[""Senior Leadership""],""title"":""CEO/Co-Founder"",""seniority"":""Executive Level""},{""specter_person_id"":""per_e934a5f535eec304c1a72f47"",""full_name"":""Justin Hall"",""departments"":[""Senior Leadership""],""title"":""Co-Founder"",""seniority"":""Executive Level""}]","Fortune 500 Experience, Unicorn Experience, Prior Exit, Prior IPO, Prior VC-Backed Experience, Prior VC-Backed Founder, Serial Founder, Strong Technical Background, Top University, VC-Backed Founder",3,157,8.28,38.94,16169.0,-16.62,-43.36,,,"Headcount Surge, Headcount Momentum, Headcount Scale-up, Web Traffic Decline, Social Followers Surge, Social Followers Momentum, Social Followers Scale-up, Top Tier Investors, No Recent Funding, Recent News","Augment provides Augie, an AI teammate that automates logistics tasks.",100,100,100,70,76,Tier 3,Monitor (Tier 3),~9mo since last raise — likely approaching a new round; strong time to engage.,Validate founder track record and prior exit outcomes. | Assess market size and competitive landscape. | Review cap table and quality of existing investors.
WarrCloud Inc.,warrcloud.com,"WarrCloud automates automotive warranty claims so dealerships reduce processing costs and recover more warranty revenue. The company uses AI and machine learning trained on millions of past claims to automate submissions and improve OEM compliance, integrating with dealer management systems (DMS). Offered as a B2B SaaS platform with services, its workflow automation reduces dealer labor and raises warranty claim scores. WarrCloud serves hundreds of dealerships and dealer groups, focusing on fixed-ops profitability and scalable warranty operations.",Manufacturing; Transportation Equipment Manufacturing; Motor Vehicle Manufacturing,"Supply Chain & ManufacturingTech > Aftermarket & Service Supply Chains; FinTech > Insurance and InsurTech; FinTech > Risk, Fraud and Decisioning; Enterprise Automation > Document Intelligence and Intelligent Capture",Automotive,Growth Stage,2017,"St. Louis, Missouri, United States, North America",Active,27400000.0,20000000.0,2024-10-22,Series B,0.0,3,"Aspen Capital Group, Automotive Ventures, Centana Growth Partners, Driven Capital Partners, FM Capital, The Argentum Group","Automotive Ventures, The Argentum Group, Centana Growth Partners",0.0,"[{""specter_person_id"":""per_889e14b59348cc8b6a2cf2b0"",""full_name"":""Jim Roche"",""departments"":[""Senior Leadership""],""title"":""Founder & CEO"",""seniority"":""Executive Level""}]","Serial Founder, VC-Backed Founder",1,174,1.75,10.13,2039.0,24.33,78.7,8.0,1.0,No Recent Funding,WarrCloud automates warranty claims for automotive dealerships to cut costs and boost revenue.,100,100,20,75,76,Tier 3,Monitor (Tier 3),~20mo since last raise — likely approaching a new round; strong time to engage.,Validate founder track record and prior exit outcomes. | Assess market size and competitive landscape. | Review cap table and quality of existing investors.
Swarm Aero,swarmaero.com,"Swarm Aero enables small teams to deploy and coordinate thousands of uncrewed vehicles in communications-limited, contested environments. It does this with a Universal Swarm Node that provides a sensor mesh, edge computing, and collaborative autonomy to allow large-scale UAV, sea, and ground asset coordination. The company develops mission-level autonomy and scalable hardware through advanced manufacturing and materials to achieve high production rates. Its product set is positioned for military and defense use where robust, distributed autonomy and rapid deployment matter.",Manufacturing; Transportation Equipment Manufacturing; Aviation and Aerospace Component Manufacturing,Robotics & Industrial Tech > Aerial Robotics and Autonomous Drones; Defence & Security > Autonomous and Uncrewed Systems; Robotics & Industrial Tech > Edge Computing and AI for Robotics; AI & Machine Learning > Agentic Frameworks and Orchestration; AI & Machine Learning > Multimodal Perception and Sensor Fusion,Aerospace;  Artificial Intelligence (AI);  Drones;  Hardware;  Military;  National Security,Early Stage,2022,"New York City, New York, United States, North America",Active,35000000.0,35000000.0,2026-03-11,Series A,0.0,4,"Alumni Ventures, Coatue, Construct Capital, Countdown Capital, Founders Fund, Friends & Family Capital, Jackson Moses, Josh Manchester, Khosla Ventures, MaC Venture Capital, Quiet Capital, Scribble Ventures, Silent Ventures, Susa Ventures, Two Sigma Ventures","Countdown Capital, Jackson Moses, Construct Capital, Two Sigma Ventures, Silent Ventures",0.0,"[{""specter_person_id"":""per_978160183b4f5799141f1d0b"",""full_name"":""Danny Goodman"",""departments"":[""Senior Leadership""],""title"":""Founder & Executive Chairman"",""seniority"":""Executive Level""},{""specter_person_id"":""per_bf44220b6fff7c418d14616d"",""full_name"":""Oliver Palmer"",""departments"":[""Senior Leadership""],""title"":""Co-Founder & CRO"",""seniority"":""Executive Level""},{""specter_person_id"":""per_cd38a03526d081b156105eec"",""full_name"":""Peter Kalogiannis"",""departments"":[""Senior Leadership"",""Engineering""],""title"":""Co-Founder & Chief Engineer"",""seniority"":""Executive Level""}]","Fortune 500 Experience, Unicorn Experience, Prior Exit, Prior VC-Backed Experience, Prior VC-Backed Founder, Serial Founder, Top University, VC-Backed Founder",3,68,47.83,51.11,,,,,,"Headcount Surge, Headcount Momentum, Headcount Scale-up, Social Followers Surge, Social Followers Momentum, Social Followers Scale-up, Top Tier Investors, Recent Funding",Swarm Aero empowers teams to mobilize thousands of uncrewed vehicles in contested environments.,100,100,80,70,75,Tier 3,Monitor (Tier 3),"Raised ~3mo ago — build the relationship now, ahead of the next round.",Validate founder track record and prior exit outcomes. | Pull fresh traction data — web/product usage is sparse in this export. | Assess market size and competitive landscape. | Review cap table and quality of existing investors.
FR8Star,fr8star.com,"FR8Star is a marketplace that connects shippers with expert and insured freight carriers and brokers for efficient delivery of heavy haul freight and equipment transport. The platform offers transparent pricing, allowing shippers to post loads and receive instant quotes from vetted transport companies. With a focus on building relationships with specialized carriers, FR8Star ensures high-quality service and competitive rates. The company operates across the US, Canada, and beyond, providing a range of shipping options including hot shot trucking, LTL shipping, and oversize transport. Their technology streamlines the shipping process, making it easier for shippers to manage their freight needs while ensuring that transport companies can expand their business effectively.","Transportation, Logistics, Supply Chain and Storage; Truck Transportation","Mobility, Transport & Logistics > Freight, TMS and Logistics Platforms; Commerce & Marketplaces > B2B Marketplaces & Procurement Networks; Supply Chain & ManufacturingTech > Transportation, Freight and Network Optimization; Supply Chain & ManufacturingTech > Aftermarket & Service Supply Chains",Cloud Computing; Logistics; Marketplace; Shipping Broker; Transportation,Early Stage,2015,"Lincoln, Nebraska, United States, North America",Active,8500000.0,3600000.0,2017-12-12,Series A,0.0,3,"Ben Orthlieb, David Mes, Doug Abrams, Gokul Rajaram, MAN Truck & Bus, Mat Peyron, Off the Grid Ventures, Olivier Poissonnier, Redgate Partners, Rick Marini, Ricky Wong, Sandeep Bhadra, Sandhills Global","MAN Truck & Bus, Sandhills Global",0.0,"[{""specter_person_id"":""per_abefedec8f0259a3a911e738"",""full_name"":""Carl-Christoph Reckers"",""departments"":[""Senior Leadership""],""title"":""Co-Founder and CEO/COO"",""seniority"":""Executive Level""},{""specter_person_id"":""per_ed95bfc64d45d818b046d123"",""full_name"":""Jan Gildemeister"",""departments"":[""Senior Leadership""],""title"":""Co-Founder"",""seniority"":""Executive Level""}]","Fortune 500 Experience, Prior VC-Backed Experience, Prior VC-Backed Founder, Strong Academic Background, Top University, VC-Backed Founder",2,5,25.0,25.0,95072.0,-3.77,27.62,,,"Top Tier Investors, No Recent Funding",FR8Star connects shippers with expert freight carriers for efficient heavy haul transport.,100,100,30,74,75,Tier 3,Monitor (Tier 3),~103mo since last raise — may be raising soon or capital-efficient; worth a direct conversation.,"Validate founder track record and prior exit outcomes. | Confirm current runway, burn rate, and timeline to next raise. | Assess market size and competitive landscape. | Review cap table and quality of existing investors."
SkySafe,skysafe.io,"SkySafe helps governments, airports, law enforcement, and critical infrastructure detect, track, and investigate unauthorized drones in real time. Its cloud-based SaaS platform ingests radio-frequency and telemetry signals to produce real-time and historical drone telemetryâ€”location, altitude, velocity, flight status, launch point, and pilot locationâ€”for monitoring and forensic analysis. SkySafe combines drone detection, analytics, and forensic evidence capture to support operational response and investigative/prosecutorial workflows while reducing on-site hardware requirements. Customers include cities, airports, corporations, and security agencies that need actionable airspace intelligence.",Manufacturing; Transportation Equipment Manufacturing; Aviation and Aerospace Component Manufacturing,Defence & Security > ISR and Sensing; Robotics & Industrial Tech > Aerial Robotics and Autonomous Drones; Space & Frontier > Earth Observation and Space Data,Aerospace; Drone Management; Drones; National Security; Robotics; Security,Early Stage,2015,"San Diego, California, United States, North America",Active,45000000.0,30000000.0,2021-12-17,Series B,0.0,3,"Alumni Ventures, Andreessen Horowitz, BoxGroup, Bryan Rosenblatt, CSC Upshot, Castor Ventures, Daniel Curran, Founder Collective, Gaingels, Haystack, Kingfisher Investment Advisors, Naval Ravikant, Ore Ventures, Red Sea Ventures, SV Angel, Sound Ventures, Zach Coelius","Andreessen Horowitz, Kingfisher Investment Advisors",0.0,"[{""specter_person_id"":""per_1103bd99f55dcf24144be8ad"",""full_name"":""Paul Wicks"",""departments"":[""Senior Leadership""],""title"":""Co-Founder"",""seniority"":""Executive Level""}]","Fortune 500 Experience, Serial Founder, VC-Backed Founder",1,57,1.79,14.0,10010.0,1.7,61.37,14.0,,"Headcount Scale-up, Top Tier Investors, No Recent Funding",SkySafe provides cloud-based drone detection and forensics for real-time airspace monitoring.,100,100,27,73,75,Tier 3,Monitor (Tier 3),~54mo since last raise — may be raising soon or capital-efficient; worth a direct conversation.,"Validate founder track record and prior exit outcomes. | Confirm current runway, burn rate, and timeline to next raise. | Assess market size and competitive landscape. | Review cap table and quality of existing investors."
